path,url,type,expected_content,indexable_expected,status,ok,content_type,html_like,xml_like,json_like,body_length,blank_like,final_url,error
/states/sc/pick-3/historical,https://winningnumbers.us/states/sc/pick-3/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74729,false,https://winningnumbers.us/states/sc/pick-3/historical,
/states/sc/pick-3/midday,https://winningnumbers.us/states/sc/pick-3/midday,session,html,true,200,true,text/html; charset=utf-8,true,false,false,189831,false,https://winningnumbers.us/states/sc/pick-3/midday,
/states/sc/pick-3/stats,https://winningnumbers.us/states/sc/pick-3/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,128127,false,https://winningnumbers.us/states/sc/pick-3/stats,
/states/sc/pick-4,https://winningnumbers.us/states/sc/pick-4,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,235070,false,https://winningnumbers.us/states/sc/pick-4,
/states/sc/pick-4/evening,https://winningnumbers.us/states/sc/pick-4/evening,session,html,true,200,true,text/html; charset=utf-8,true,false,false,199486,false,https://winningnumbers.us/states/sc/pick-4/evening,
/states/sc/pick-4/historical,https://winningnumbers.us/states/sc/pick-4/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74729,false,https://winningnumbers.us/states/sc/pick-4/historical,
/states/sc/pick-4/midday,https://winningnumbers.us/states/sc/pick-4/midday,session,html,true,200,true,text/html; charset=utf-8,true,false,false,199286,false,https://winningnumbers.us/states/sc/pick-4/midday,
/states/sc/pick-4/stats,https://winningnumbers.us/states/sc/pick-4/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,124124,false,https://winningnumbers.us/states/sc/pick-4/stats,
/states/sc/powerball,https://winningnumbers.us/states/sc/powerball,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,287736,false,https://winningnumbers.us/states/sc/powerball,
/states/sc/powerball-double-play,https://winningnumbers.us/states/sc/powerball-double-play,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,235023,false,https://winningnumbers.us/states/sc/powerball-double-play,
/states/sc/powerball-double-play/historical,https://winningnumbers.us/states/sc/powerball-double-play/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,75003,false,https://winningnumbers.us/states/sc/powerball-double-play/historical,
/states/sc/powerball-double-play/stats,https://winningnumbers.us/states/sc/powerball-double-play/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,124523,false,https://winningnumbers.us/states/sc/powerball-double-play/stats,
/states/sc/powerball/historical,https://winningnumbers.us/states/sc/powerball/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74760,false,https://winningnumbers.us/states/sc/powerball/historical,
/states/sc/powerball/stats,https://winningnumbers.us/states/sc/powerball/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,124276,false,https://winningnumbers.us/states/sc/powerball/stats,
/states/sd,https://winningnumbers.us/states/sd,state,html,true,200,true,text/html; charset=utf-8,true,false,false,192216,false,https://winningnumbers.us/states/sd,
/states/sd/dakota-cash,https://winningnumbers.us/states/sd/dakota-cash,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,179442,false,https://winningnumbers.us/states/sd/dakota-cash,
/states/sd/dakota-cash/historical,https://winningnumbers.us/states/sd/dakota-cash/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74803,false,https://winningnumbers.us/states/sd/dakota-cash/historical,
/states/sd/dakota-cash/stats,https://winningnumbers.us/states/sd/dakota-cash/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,113184,false,https://winningnumbers.us/states/sd/dakota-cash/stats,
/states/sd/lotto-america,https://winningnumbers.us/states/sd/lotto-america,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,205170,false,https://winningnumbers.us/states/sd/lotto-america,
/states/sd/lotto-america/historical,https://winningnumbers.us/states/sd/lotto-america/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74845,false,https://winningnumbers.us/states/sd/lotto-america/historical,
/states/sd/lotto-america/stats,https://winningnumbers.us/states/sd/lotto-america/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,125600,false,https://winningnumbers.us/states/sd/lotto-america/stats,
/states/sd/mega-millions,https://winningnumbers.us/states/sd/mega-millions,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,186182,false,https://winningnumbers.us/states/sd/mega-millions,
/states/sd/mega-millions/historical,https://winningnumbers.us/states/sd/mega-millions/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74845,false,https://winningnumbers.us/states/sd/mega-millions/historical,
/states/sd/mega-millions/stats,https://winningnumbers.us/states/sd/mega-millions/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,125821,false,https://winningnumbers.us/states/sd/mega-millions/stats,
/states/sd/millionaire-for-life,https://winningnumbers.us/states/sd/millionaire-for-life,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,216784,false,https://winningnumbers.us/states/sd/millionaire-for-life,
/states/sd/millionaire-for-life/historical,https://winningnumbers.us/states/sd/millionaire-for-life/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74991,false,https://winningnumbers.us/states/sd/millionaire-for-life/historical,
/states/sd/millionaire-for-life/stats,https://winningnumbers.us/states/sd/millionaire-for-life/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,127704,false,https://winningnumbers.us/states/sd/millionaire-for-life/stats,
/states/sd/powerball,https://winningnumbers.us/states/sd/powerball,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,201197,false,https://winningnumbers.us/states/sd/powerball,
/states/sd/powerball-double-play,https://winningnumbers.us/states/sd/powerball-double-play,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,198547,false,https://winningnumbers.us/states/sd/powerball-double-play,
/states/sd/powerball-double-play/historical,https://winningnumbers.us/states/sd/powerball-double-play/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,75003,false,https://winningnumbers.us/states/sd/powerball-double-play/historical,
/states/sd/powerball-double-play/stats,https://winningnumbers.us/states/sd/powerball-double-play/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,128011,false,https://winningnumbers.us/states/sd/powerball-double-play/stats,
/states/sd/powerball/historical,https://winningnumbers.us/states/sd/powerball/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74760,false,https://winningnumbers.us/states/sd/powerball/historical,
/states/sd/powerball/stats,https://winningnumbers.us/states/sd/powerball/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,129808,false,https://winningnumbers.us/states/sd/powerball/stats,
/states/tn,https://winningnumbers.us/states/tn,state,html,true,200,true,text/html; charset=utf-8,true,false,false,290480,false,https://winningnumbers.us/states/tn,
/states/tn/cash-3,https://winningnumbers.us/states/tn/cash-3,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,272872,false,https://winningnumbers.us/states/tn/cash-3,
/states/tn/cash-3/evening,https://winningnumbers.us/states/tn/cash-3/evening,session,html,true,200,true,text/html; charset=utf-8,true,false,false,211005,false,https://winningnumbers.us/states/tn/cash-3/evening,
